frame_index,iter,mu_x (debye),mu_y (debye),mu_z (debye),P_x (uC/cm^2),P_y (uC/cm^2),P_z (uC/cm^2),volume (angstrom^3),field_z
12.0,1200.0,9.944124083965885,4.3227665545156215,35.84229792675947,1.6020398032018708,0.6678491579493924,5.765719974548035,2072.5151795283555,0.0
37.0,3700.0,4.34033816857115,-49.01931130806539,27.195256275363285,0.7022511659631195,-7.993694207024249,4.4060835374495335,2057.4246310528924,0.032600000000000004
62.0,6200.0,0.14856015313985368,33.478529601987084,4.779471103585687,0.028702467946960616,5.365989218378387,0.7937274346809704,2071.5942562798564,0.06470000000000001
87.0,8700.0,-9.07913733498345,-31.94524645045944,-47.38638013145228,-1.4347989937969319,-5.06647640053318,-7.486789878692315,2112.1939045437352,0.0957
112.0,11200.0,-11.162783082606644,-51.828739607551476,-51.67581608724162,-1.7836750464732225,-8.271278508378234,-8.240746671279862,2091.9375736516868,0.125
137.0,13700.0,-10.254941757028416,11.499534027878255,-54.34473369691263,-1.6278389969386393,1.897136295353306,-8.625241000856905,2101.0292246798713,0.1522
162.0,16200.0,-10.540897720092817,-8.543345800842346,-57.61327866854263,-1.6554131078690473,-1.3098121157694655,-9.049039510919465,2123.6090958050963,0.1768
187.0,18700.0,-12.225415066562741,-1.5042903150498819,-58.80598715531369,-1.9208828406010414,-0.29306407427694525,-9.248910719217644,2120.409589861911,0.1983
212.0,21200.0,-12.07862533224864,-25.929123633416584,-60.00734658378234,-1.8958705524835682,-4.104851302615822,-9.421211913852089,2124.3775036300503,0.21649999999999997
237.0,23700.0,-14.69947190680755,23.917171131380147,-61.69432328803658,-2.303115600955876,3.730538823355388,-9.641272395115122,2134.2529606671233,0.231
262.0,26200.0,-10.131614540095738,5.722879190378539,-62.2367072219596,-1.589891078615162,1.0191985244681545,-9.781719040520647,2122.3633724799547,0.2415
287.0,28700.0,-12.170917584297456,-13.379627996047338,-63.371538230833394,-1.8952810835781206,-2.0825352733762634,-9.881250726424879,2139.2273494021283,0.24789999999999998
312.0,31200.0,-11.849851335418082,15.715556829751245,-63.73726336270107,-1.8437606498642345,2.430535431823363,-9.905720238444783,2145.984529895061,0.25
337.0,33700.0,-10.410219794622282,15.518726881063849,-62.83486180621226,-1.617086806924518,2.447574395358991,-9.780813718029888,2142.862418299868,0.24789999999999998
362.0,36200.0,-10.84309389509996,16.36565722666241,-62.86557580369523,-1.687072386807107,2.5667734739140395,-9.77739145726783,2144.726835234536,0.2415
387.0,38700.0,-10.819033100201032,-5.339468135878719,-61.59560204505787,-1.6852900068832652,-0.8664368931805703,-9.603779138573584,2139.248203885691,0.231
412.0,41200.0,-11.304908048682933,-11.222656777962362,-60.85006543760872,-1.7661070961508525,-1.7520712142606578,-9.50920701464856,2134.5483440936573,0.21649999999999997
437.0,43700.0,-12.023748688880833,-10.434589001346108,-58.946607627165506,-1.8834935908705388,-1.6103856360370263,-9.22174680566137,2132.075502514535,0.1983
462.0,46200.0,-12.262735058816991,-32.45650310191246,-57.109234579708684,-1.9271840357766832,-5.061307938283303,-8.96513942996358,2124.940204968091,0.1768
487.0,48700.0,-11.616487189088675,6.027772087918678,-54.7611116284561,-1.831487121099971,0.931359978095349,-8.626698228556403,2117.3111206527988,0.1522
512.0,51200.0,-10.807441379397572,20.758431628497174,-52.359713414454,-1.7080487742290138,3.279784765283033,-8.286232637396319,2107.57762092337,0.125
537.0,53700.0,-9.916734568601164,-1.0089354321602615,-49.372222345910934,-1.576224389791262,-0.11920134927453063,-7.843751403795026,2099.496039916937,0.0957
562.0,56200.0,-7.632874859258603,-19.33680270096113,-45.746596684415046,-1.2174971958697514,-3.087463285877334,-7.312532914788761,2086.7124132090603,0.06470000000000001
587.0,58700.0,-8.5737000095063,6.311711147084498,-41.940559521557105,-1.3746634801502495,0.9869853664478447,-6.724673758164331,2080.288931386807,0.032600000000000004
612.0,61200.0,-6.6022526101459835,19.59066077693477,-36.16654451936038,-1.0642523141266937,3.12396752009693,-5.83109124368093,2068.5394765714973,0.0
637.0,63700.0,-5.721963862953552,7.984754470468359,-27.101682090362857,-0.9238558614007449,1.2805715787316365,-4.380886902103323,2063.37320497327,-0.032600000000000004
662.0,66200.0,-1.9971067505936322,-25.53237421514874,-12.997514698175102,-0.3236900130811955,-4.203491483170671,-2.1101710994357634,2052.5491852763075,-0.06470000000000001
687.0,68700.0,10.1148029466583,1.4082918145223255,41.54934688749891,1.60429628188259,0.21202085832597853,6.567126774597817,2105.3953787327737,-0.0957
712.0,71200.0,12.259824159484296,-15.636932068554682,52.195555314633985,1.9350578611858413,-2.4894093055811357,8.23744175738324,2113.3134260476004,-0.125
737.0,73700.0,11.609540433872482,25.523686822894593,54.857858827489125,1.8336743911945521,4.019128320555259,8.658977004661136,2113.2291832946107,-0.1522
762.0,76200.0,11.5265765943495,20.694008053707172,56.60472144452944,1.816744149100447,3.2949042444145435,8.914572859390539,2117.9844952018016,-0.1768
787.0,78700.0,11.166048387327116,7.267898908137579,58.79242015710143,1.7511316839659785,1.1067896160133353,9.214832764937276,2127.964731093944,-0.1983
812.0,81200.0,10.938281386114324,-38.13647547412416,60.407429598729344,1.7142526242138945,-5.965359655309808,9.468705020906652,2128.0604223189653,-0.21649999999999997
837.0,83700.0,10.384839836175008,-41.20083762324427,61.493695236313776,1.6279488252845367,-6.466128979100553,9.63710440730778,2128.3045221497437,-0.231
862.0,86200.0,10.801038610120305,23.883742745178797,62.52853574587385,1.683481460646151,3.7294012980400395,9.740525459309119,2141.4135370739805,-0.2415
887.0,88700.0,11.566595549351229,-20.522905617564216,62.47623433663297,1.8014153913413482,-3.247496966615951,9.745267226690126,2138.4341119958826,-0.24789999999999998
912.0,91200.0,10.847298581692332,-11.745182419081441,63.25015738562687,1.6931405195907565,-1.861495455766717,9.853940247703067,2140.8926292016604,-0.25
937.0,93700.0,11.505855867006135,-4.373026492428747,63.40337487356569,1.7902148072559945,-0.6657421524286515,9.864290596233396,2143.824996831223,-0.24789999999999998
962.0,96200.0,9.686663458772378,14.375083145123671,62.118389408935485,1.5085668916519,2.2775093824017945,9.688499820663644,2138.6259854096884,-0.2415
987.0,98700.0,11.385448320057193,28.207572905877704,61.793093489116444,1.7782789768020177,4.388167236763115,9.65720507246484,2134.434776359555,-0.231
1012.0,101200.0,9.290648004700097,-11.583955599550183,60.52873999822099,1.458574841629067,-1.7869277002528656,9.479713978707984,2129.8684151902744,-0.21649999999999997
1037.0,103700.0,11.253868673678765,4.790415020071787,58.7628474662765,1.7668770171571324,0.8121887139921639,9.220730999250748,2125.86395760499,-0.1983
1062.0,106200.0,9.874328227027831,34.96890183725408,57.24283788521292,1.5667861885448908,5.598321131271927,9.070784938872224,2105.140682551567,-0.1768
1087.0,108700.0,11.355700902109959,34.378399662327276,54.03859448506328,1.7952326453884033,5.377113671858414,8.545668838766234,2109.3534701713647,-0.1522
1112.0,111200.0,13.14016303099522,28.472712555912477,51.9566873110215,2.079265645098246,4.502015922862539,8.22443837910607,2107.0711585174104,-0.125
1137.0,113700.0,8.410936683354771,32.07274634927375,48.851284665258106,1.3427520063976963,5.076467776045749,7.775363348413536,2095.573724725174,-0.0957
1162.0,116200.0,9.915503486212705,-10.30790428506898,44.81805604033607,1.5910076343390844,-1.6614105347572303,7.2017551891122045,2075.610815548378,-0.06470000000000001
1187.0,118700.0,6.672496346669467,13.883618773156327,41.47738197267895,1.0756466084578156,2.2615293435071924,6.675945780274926,2072.4629347845826,-0.032600000000000004
1212.0,121200.0,7.204858852148086,67.37502571271459,36.162740189450844,1.1578320211465434,10.816739419980445,5.827728191912789,2069.802731792539,-0.0
1237.0,123700.0,4.864322587016462,0.37501749922741967,28.046099691573954,0.7882866186831633,0.039305768284804116,4.546665857910082,2057.204725353932,0.032600000000000004
1262.0,126200.0,3.0171585169818114,7.405457946313517,9.70796282813437,0.49593050321029025,1.190602699146388,1.5830338949699374,2046.0682124910852,0.06470000000000001
1287.0,128700.0,-7.501676625724838,-19.497817854807913,-45.79806087978155,-1.1803725983986824,-3.022192203056452,-7.222165280520626,2113.933193319723,0.0957
1312.0,131200.0,-9.830178764199205,18.24041454861665,-52.57436562184476,-1.552014227364718,2.810705265943257,-8.296600517882263,2113.303071750476,0.125
1337.0,133700.0,-10.163317845877097,46.09654803582186,-54.217500671812644,-1.6076886812225022,7.336504459945713,-8.581715162000796,2106.875640246324,0.1522
1362.0,136200.0,-8.39050102042089,5.156888579543722,-57.42697006387866,-1.3188055600412023,0.8109796302220943,-9.02570796258569,2122.3368362737624,0.1768
1387.0,138700.0,-13.050468161608704,26.42448021664057,-58.51156847852049,-2.044302240819083,4.201276319302525,-9.170764338899177,2128.278867152182,0.1983
1412.0,141200.0,-10.496173767135597,-6.772378174446991,-59.77134444273784,-1.6429868578046019,-1.0788958179934762,-9.366691240438595,2128.199491910608,0.21649999999999997
1437.0,143700.0,-11.822675297506526,-22.043474896808867,-62.088776313555925,-1.8551574117917524,-3.4774390414367082,-9.713995654647023,2131.904558865328,0.231
1462.0,146200.0,-9.07818965125327,-38.593060798057834,-62.601723462358265,-1.4133015803481532,-5.974367283505713,-9.759504758187207,2139.731504206569,0.2415
1487.0,148700.0,-10.063775562373195,-23.326834303878396,-62.90409101953599,-1.5663566046495974,-3.581248044827893,-9.79695162029801,2141.6976753585705,0.24789999999999998
1525.0,152500.0,-12.96793666151584,-7.24361069929773,-63.173785262926295,-2.0173180728365234,-1.1017960836001222,-9.825918667890491,2144.4626080789817,0.25
