section,iden,weight,atom,lit,inline_comment,group_comment
CHARGE,NH3,0.01,1,-0.71734,,NH3
CHARGE,NH3,0.01,2,0.23912,,NH3
CHARGE,Imid_e,0.05,1,-0.36684,,Imidazole_epsilon
CHARGE,Imid_e,0.05,2,0.12365,,Imidazole_epsilon
CHARGE,Imid_e,0.05,3,0.12386,,Imidazole_epsilon
CHARGE,Imid_e,0.05,4,0.10001,,Imidazole_epsilon
CHARGE,Imid_e,0.05,5,0.20632,,Imidazole_epsilon
CHARGE,Imid_e,0.05,6,-0.47163,,Imidazole_epsilon
CHARGE,Imid_e,0.05,7,0.03773,,Imidazole_epsilon
CHARGE,Imid_e,0.05,8,0.10185,,Imidazole_epsilon
CHARGE,Imid_e,0.05,9,0.26262,,Imidazole_epsilon
CHARGE,Imid_e,0.05,10,0.10831,,Imidazole_epsilon
CHARGE,Imid_e,0.05,11,-0.48984,,Imidazole_epsilon
CHARGE,Imid_e,0.05,12,0.26397,,Imidazole_epsilon
CHARGE,Im_p,0.05,1,-0.38583,,Imidazole proton
CHARGE,Im_p,0.05,2,0.17528,,Imidazole proton
CHARGE,Im_p,0.05,3,0.17581,,Imidazole proton
CHARGE,Im_p,0.05,4,0.1756,,Imidazole proton
CHARGE,Im_p,0.05,5,0.29028,,Imidazole proton
CHARGE,Im_p,0.05,6,-0.50629,,Imidazole proton
CHARGE,Im_p,0.05,7,0.33359,,Imidazole proton
CHARGE,Im_p,0.05,8,0.07161,,Imidazole proton
CHARGE,Im_p,0.05,9,0.19971,,Imidazole proton
CHARGE,Im_p,0.05,10,0.37386,,Imidazole proton
CHARGE,Im_p,0.05,11,0.22961,,Imidazole proton
CHARGE,Im_p,0.05,12,-0.47411,,Imidazole proton
CHARGE,Im_p,0.05,13,0.34088,,Imidazole proton
CHARGE,Methanol,0.01,1,-0.07385,,Methanol
CHARGE,Methanol,0.01,2,0.08962,,Methanol
CHARGE,Methanol,0.01,3,0.12088,,Methanol
CHARGE,Methanol,0.01,4,0.08963,,Methanol
CHARGE,Methanol,0.01,5,-0.53225,,Methanol
CHARGE,Methanol,0.01,6,0.30597,,Methanol
CHARGE,Methanol_m,0.05,1,0.13586,,Methanol anion
CHARGE,Methanol_m,0.05,2,-0.12815,,Methanol anion
CHARGE,Methanol_m,0.05,3,-0.12846,,Methanol anion
CHARGE,Methanol_m,0.05,4,-0.12818,,Methanol anion
CHARGE,Methanol_m,0.05,5,-0.75108,,Methanol anion
CHARGE,Formamide,0.01,1,-0.57004,,Formamide
CHARGE,Formamide,0.01,2,0.28009,,Formamide
CHARGE,Formamide,0.01,3,0.27147,,Formamide
CHARGE,Formamide,0.01,4,0.40857,,Formamide
CHARGE,Formamide,0.01,5,0.06512,,Formamide
CHARGE,Formamide,0.01,6,-0.45522,,Formamide
CHARGE,Formic_acid,0.01,1,0.42851,,Formic acid
CHARGE,Formic_acid,0.01,2,0.07199,,Formic acid
CHARGE,Formic_acid,0.01,3,-0.38747,,Formic acid
CHARGE,Formic_acid,0.01,4,-0.43577,,Formic acid
CHARGE,Formic_acid,0.01,5,0.32275,,Formic acid
CHARGE,H2O,0.05,1,-0.6097,,Water
CHARGE,H2O,0.05,2,0.30485,,Water
CHARGE,H2O,0.05,3,0.30485,,Water
CHARGE,OH_m,0.05,1,-1.06871,,Hydroxyl anion
CHARGE,OH_m,0.05,2,0.06871,,Hydroxyl anion
CHARGE,H3O_p,0.05,1,-0.3815,,Hydronium cation
CHARGE,H3O_p,0.05,2,0.4605,,Hydronium cation
CHARGE,H3O_p,0.05,3,0.4605,,Hydronium cation
CHARGE,H3O_p,0.05,4,0.4605,,Hydronium cation
CHARGE,NH2_m,0.05,1,-1.00739,,NH2 anion
CHARGE,NH2_m,0.05,2,0.0037,,NH2 anion
CHARGE,NH2_m,0.05,3,0.0037,,NH2 anion
CHARGE,NH4_p,0.02,1,-0.59735,,NH4 cation
CHARGE,NH4_p,0.02,2,0.39331,,NH4 cation
CHARGE,NH4_p,0.02,3,0.39331,,NH4 cation
CHARGE,NH4_p,0.02,4,0.39331,,NH4 cation
CHARGE,NH4_p,0.02,5,0.39331,,NH4 cation
CHARGE,Tet_int1,0.05,1,-0.62265,,Tetrahedral anion intermediate 1
CHARGE,Tet_int1,0.05,2,0.18683,,Tetrahedral anion intermediate 1
CHARGE,Tet_int1,0.05,3,0.18016,,Tetrahedral anion intermediate 1
CHARGE,Tet_int1,0.05,4,0.51023,,Tetrahedral anion intermediate 1
CHARGE,Tet_int1,0.05,5,-0.05042,,Tetrahedral anion intermediate 1
CHARGE,Tet_int1,0.05,6,-0.64978,,Tetrahedral anion intermediate 1
CHARGE,Tet_int1,0.05,7,-0.60994,,Tetrahedral anion intermediate 1
CHARGE,Tet_int1,0.05,8,0.0006,,Tetrahedral anion intermediate 1
CHARGE,Tet_int1,0.05,9,0.07687,,Tetrahedral anion intermediate 1
CHARGE,Tet_int1,0.05,10,-0.00359,,Tetrahedral anion intermediate 1
CHARGE,Tet_int1,0.05,11,-0.01831,,Tetrahedral anion intermediate 1
CHARGE,Tet_int2,0.05,1,0.57152,,Tetrahedral anion intermediate 2
CHARGE,Tet_int2,0.05,2,-0.06129,,Tetrahedral anion intermediate 2
CHARGE,Tet_int2,0.05,3,-0.61992,,Tetrahedral anion intermediate 2
CHARGE,Tet_int2,0.05,4,-0.61365,,Tetrahedral anion intermediate 2
CHARGE,Tet_int2,0.05,5,-0.01069,,Tetrahedral anion intermediate 2
CHARGE,Tet_int2,0.05,6,0.00062,,Tetrahedral anion intermediate 2
CHARGE,Tet_int2,0.05,7,-0.00198,,Tetrahedral anion intermediate 2
CHARGE,Tet_int2,0.05,8,0.08524,,Tetrahedral anion intermediate 2
CHARGE,Tet_int2,0.05,9,-0.60747,,Tetrahedral anion intermediate 2
CHARGE,Tet_int2,0.05,10,0.25762,,Tetrahedral anion intermediate 2
CHARGE,zwitter1,0.05,1,-0.494,,Im-OH complex
CHARGE,zwitter1,0.05,2,0.28339,,Im-OH complex
CHARGE,zwitter1,0.05,3,-0.52137,,Im-OH complex
CHARGE,zwitter1,0.05,4,0.25188,,Im-OH complex
CHARGE,zwitter1,0.05,5,0.03283,,Im-OH complex
CHARGE,zwitter1,0.05,6,0.27222,,Im-OH complex
CHARGE,zwitter1,0.05,7,0.12461,,Im-OH complex
CHARGE,zwitter1,0.05,8,-0.24363,,Im-OH complex
CHARGE,zwitter1,0.05,9,0.11209,,Im-OH complex
CHARGE,zwitter1,0.05,10,-0.19177,,Im-OH complex
CHARGE,zwitter1,0.05,11,0.07779,,Im-OH complex
CHARGE,zwitter1,0.05,12,0.09216,,Im-OH complex
CHARGE,zwitter1,0.05,13,0.11226,,Im-OH complex
CHARGE,zwitter1,0.05,14,0.1012,,Im-OH complex
CHARGE,zwitter1,0.05,15,0.08263,,Im-OH complex
CHARGE,zwitter1,0.05,16,0.08653,,Im-OH complex
CHARGE,zwitter1,0.05,17,-0.5658,,Im-OH complex
CHARGE,zwitter1,0.05,18,0.32779,,Im-OH complex
CHARGE,zwitter1,0.05,19,0.05918,,Im-OH complex
CHARGE,zwitter6,0.05,1,-0.49092,,H-Im-O complex
CHARGE,zwitter6,0.05,2,0.33567,,H-Im-O complex
CHARGE,zwitter6,0.05,3,-0.47492,,H-Im-O complex
CHARGE,zwitter6,0.05,4,0.29723,,H-Im-O complex
CHARGE,zwitter6,0.05,5,0.03025,,H-Im-O complex
CHARGE,zwitter6,0.05,6,0.29496,,H-Im-O complex
CHARGE,zwitter6,0.05,7,0.1756,,H-Im-O complex
CHARGE,zwitter6,0.05,8,-0.24209,,H-Im-O complex
CHARGE,zwitter6,0.05,9,0.14157,,H-Im-O complex
CHARGE,zwitter6,0.05,10,-0.18752,,H-Im-O complex
CHARGE,zwitter6,0.05,11,0.16175,,H-Im-O complex
CHARGE,zwitter6,0.05,12,0.0948,,H-Im-O complex
CHARGE,zwitter6,0.05,13,0.1268,,H-Im-O complex
CHARGE,zwitter6,0.05,14,0.08007,,H-Im-O complex
CHARGE,zwitter6,0.05,15,0.0651,,H-Im-O complex
CHARGE,zwitter6,0.05,16,0.01616,,H-Im-O complex
CHARGE,zwitter6,0.05,17,-0.70186,,H-Im-O complex
CHARGE,zwitter6,0.05,18,0.30029,,H-Im-O complex
CHARGE,zwitter6,0.05,19,-0.02294,,H-Im-O complex
CHARGE,hono,0.05,1,-0.35,,HONO
CHARGE,hono,0.05,2,0.3,,HONO
CHARGE,hono,0.05,3,0.31,,HONO
CHARGE,hono,0.05,4,-0.26,,HONO
CHARGE,Ureum,0.01,1,-0.62,,Ureum
CHARGE,Ureum,0.01,2,0.65,,Ureum
CHARGE,Ureum,0.01,4,0.27,,Ureum
CHARGE,Ureum,0.01,6,-0.5,,Ureum
CHARGE,Alanine,0.01,1,-0.64,,Alanine
CHARGE,Alanine,0.01,2,-0.05,,Alanine
CHARGE,Alanine,0.01,3,0.61,,Alanine
CHARGE,Alanine,0.01,4,-0.49,,Alanine
CHARGE,Alanine,0.01,5,0.26,,Alanine
CHARGE,Alanine,0.01,7,-0.31,,Alanine
CHARGE,Alanine,0.01,8,0.14,,Alanine
CHARGE,Alanine,0.01,9,-0.47,,Alanine
CHARGE,Alanine,0.01,10,0.34,,Alanine
CHARGE,Alanine,0.01,11,0.12,,Alanine
CHARGE,rdx,0.05,1,0.05,,RDX
CHARGE,rdx,0.05,2,-0.32,,RDX
CHARGE,rdx,0.05,7,0.66,,RDX
CHARGE,rdx,0.05,10,-0.39,,RDX
CHARGE,rdx,0.05,16,0.19,,RDX
CHARGE,H2S,0.05,1,-0.16,,H2S
CHARGE,H2S,0.05,2,0.08,,H2S
CHARGE,H3CSH,0.05,1,-0.46,,H3C-SH
CHARGE,H3CSH,0.05,2,-0.05,,H3C-SH
CHARGE,H3CSH,0.05,3,0.15,,H3C-SH
CHARGE,H3CSH,0.05,4,0.06,,H3C-SH
CHARGE,H3CSCH3,0.05,1,0.14,,H3C-S-CH3
CHARGE,H3CSCH3,0.05,2,-0.46,,H3C-S-CH3
CHARGE,H3CSCH3,0.05,3,0.08,,H3C-S-CH3
