section,weight,op1,id1,n1,op2,id2,n2,lit,inline_comment,group_comment
ENERGY,1.0,+,bulk_0,1,/1,-,1,-1.2904,,Volume Bulk_EOS
ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.8249,,Volume Bulk_EOS
ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.4633,,Volume Bulk_EOS
ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.2056,,Volume Bulk_EOS
ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.0513,,Volume Bulk_EOS
ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.0001,,Volume Bulk_EOS
ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.0511,,Volume Bulk_EOS
ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.204,,Volume Bulk_EOS
ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.4578,,Volume Bulk_EOS
ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.8119,,Volume Bulk_EOS
ENERGY,1.0,+,bulk_0,1,/1,-,1,-1.2652,,Volume Bulk_EOS
ENERGY,1.0,+,c11_0,1,/1,-,1,-0.528,,Volume C11_EOS
ENERGY,1.0,+,c11_0,1,/1,-,1,-0.3666,,Volume C11_EOS
ENERGY,1.0,+,c11_0,1,/1,-,1,-0.2346,,Volume C11_EOS
ENERGY,1.0,+,c11_0,1,/1,-,1,-0.132,,Volume C11_EOS
ENERGY,1.0,+,c11_0,1,/1,-,1,-0.0587,,Volume C11_EOS
ENERGY,1.0,+,c11_0,1,/1,-,1,-0.0147,,Volume C11_EOS
ENERGY,1.0,+,c11_0,1,/1,-,1,-0.0001,,Volume C11_EOS
ENERGY,1.0,+,c11_0,1,/1,-,1,-0.0147,,Volume C11_EOS
ENERGY,1.0,+,c11_0,1,/1,-,1,-0.0587,,Volume C11_EOS
ENERGY,1.0,+,c11_0,1,/1,-,1,-0.132,,Volume C11_EOS
ENERGY,1.0,+,c11_0,1,/1,-,1,-0.2346,,Volume C11_EOS
ENERGY,1.0,+,c11_0,1,/1,-,1,-0.3666,,Volume C11_EOS
ENERGY,1.0,+,c11_0,1,/1,-,1,-0.528,,Volume C11_EOS
ENERGY,1.0,+,c22_0,1,/1,-,1,-0.528,,Volume C22_EOS
ENERGY,1.0,+,c22_0,1,/1,-,1,-0.3666,,Volume C22_EOS
ENERGY,1.0,+,c22_0,1,/1,-,1,-0.2346,,Volume C22_EOS
ENERGY,1.0,+,c22_0,1,/1,-,1,-0.132,,Volume C22_EOS
ENERGY,1.0,+,c22_0,1,/1,-,1,-0.0587,,Volume C22_EOS
ENERGY,1.0,+,c22_0,1,/1,-,1,-0.0147,,Volume C22_EOS
ENERGY,1.0,+,c22_0,1,/1,-,1,-0.0001,,Volume C22_EOS
ENERGY,1.0,+,c22_0,1,/1,-,1,-0.0147,,Volume C22_EOS
ENERGY,1.0,+,c22_0,1,/1,-,1,-0.0587,,Volume C22_EOS
ENERGY,1.0,+,c22_0,1,/1,-,1,-0.132,,Volume C22_EOS
ENERGY,1.0,+,c22_0,1,/1,-,1,-0.2346,,Volume C22_EOS
ENERGY,1.0,+,c22_0,1,/1,-,1,-0.3666,,Volume C22_EOS
ENERGY,1.0,+,c22_0,1,/1,-,1,-0.528,,Volume C22_EOS
ENERGY,1.0,+,c33_0,1,/1,-,1,-0.4029,,Volume C33_EOS
ENERGY,1.0,+,c33_0,1,/1,-,1,-0.2798,,Volume C33_EOS
ENERGY,1.0,+,c33_0,1,/1,-,1,-0.1791,,Volume C33_EOS
ENERGY,1.0,+,c33_0,1,/1,-,1,-0.1007,,Volume C33_EOS
ENERGY,1.0,+,c33_0,1,/1,-,1,-0.0448,,Volume C33_EOS
ENERGY,1.0,+,c33_0,1,/1,-,1,-0.0112,,Volume C33_EOS
ENERGY,1.0,+,c33_0,1,/1,-,1,-0.0001,,Volume C33_EOS
ENERGY,1.0,+,c33_0,1,/1,-,1,-0.0112,,Volume C33_EOS
ENERGY,1.0,+,c33_0,1,/1,-,1,-0.0448,,Volume C33_EOS
ENERGY,1.0,+,c33_0,1,/1,-,1,-0.1007,,Volume C33_EOS
ENERGY,1.0,+,c33_0,1,/1,-,1,-0.1791,,Volume C33_EOS
ENERGY,1.0,+,c33_0,1,/1,-,1,-0.2798,,Volume C33_EOS
ENERGY,1.0,+,c33_0,1,/1,-,1,-0.4029,,Volume C33_EOS
ENERGY,1.0,+,c12_0,1,/1,-,1,-0.688,,Volume C12_EOS
ENERGY,1.0,+,c12_0,1,/1,-,1,-0.4778,,Volume C12_EOS
ENERGY,1.0,+,c12_0,1,/1,-,1,-0.3058,,Volume C12_EOS
ENERGY,1.0,+,c12_0,1,/1,-,1,-0.172,,Volume C12_EOS
ENERGY,1.0,+,c12_0,1,/1,-,1,-0.0764,,Volume C12_EOS
ENERGY,1.0,+,c12_0,1,/1,-,1,-0.0191,,Volume C12_EOS
ENERGY,1.0,+,c12_0,1,/1,-,1,-0.0001,,Volume C12_EOS
ENERGY,1.0,+,c12_0,1,/1,-,1,-0.0191,,Volume C12_EOS
ENERGY,1.0,+,c12_0,1,/1,-,1,-0.0764,,Volume C12_EOS
ENERGY,1.0,+,c12_0,1,/1,-,1,-0.172,,Volume C12_EOS
ENERGY,1.0,+,c12_0,1,/1,-,1,-0.3058,,Volume C12_EOS
ENERGY,1.0,+,c12_0,1,/1,-,1,-0.4778,,Volume C12_EOS
ENERGY,1.0,+,c12_0,1,/1,-,1,-0.688,,Volume C12_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.401,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.2785,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.1782,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.1003,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.0446,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.0111,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.0001,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.0111,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.0446,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.1003,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.1782,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.2785,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.401,,Volume C13_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.401,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.2785,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.1782,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.1003,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0446,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0111,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0001,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0111,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0446,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.1003,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.1782,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.2785,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.401,,Volume C23_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.5592,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.3884,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.2485,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.1398,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0621,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0155,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0001,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0155,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0621,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.1398,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.2485,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.3884,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.5592,,Volume C44_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.5592,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.3884,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.2485,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.1398,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0621,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0155,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0001,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0155,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0621,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.1398,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.2485,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.3884,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.5592,,Volume C55_EOS
ENERGY,1.0,+,c66_0,1,/1,-,1,-0.3679,,Volume C66_EOS
ENERGY,1.0,+,c66_0,1,/1,-,1,-0.2555,,Volume C66_EOS
ENERGY,1.0,+,c66_0,1,/1,-,1,-0.1635,,Volume C66_EOS
ENERGY,1.0,+,c66_0,1,/1,-,1,-0.092,,Volume C66_EOS
ENERGY,1.0,+,c66_0,1,/1,-,1,-0.0409,,Volume C66_EOS
ENERGY,1.0,+,c66_0,1,/1,-,1,-0.0102,,Volume C66_EOS
ENERGY,1.0,+,c66_0,1,/1,-,1,-0.0001,,Volume C66_EOS
ENERGY,1.0,+,c66_0,1,/1,-,1,-0.0102,,Volume C66_EOS
ENERGY,1.0,+,c66_0,1,/1,-,1,-0.0409,,Volume C66_EOS
ENERGY,1.0,+,c66_0,1,/1,-,1,-0.092,,Volume C66_EOS
ENERGY,1.0,+,c66_0,1,/1,-,1,-0.1635,,Volume C66_EOS
ENERGY,1.0,+,c66_0,1,/1,-,1,-0.2555,,Volume C66_EOS
ENERGY,1.0,+,c66_0,1,/1,-,1,-0.3679,,Volume C66_EOS
ENERGY,1.0,+,bulk_0,1,/1,-,1,-26.058,,heat of formation for ZnPt
ENERGY,1.0,+,Zn_Pt111_top,1,/1,-,1,-40.11,,Mengyi's ZnPt trainings on Jan 26 2025
ENERGY,0.5,+,Zn_Pt111_bridge,1,/1,-,1,-51.34,,Mengyi's ZnPt trainings on Jan 26 2025
ENERGY,0.5,+,Zn_Pt111_hcp1,1,/1,-,1,-54.89,,Mengyi's ZnPt trainings on Jan 26 2025
ENERGY,0.5,+,Zn_Pt111_hcp2,1,/1,-,1,-54.69,,Mengyi's ZnPt trainings on Jan 26 2025
ENERGY,0.25,+,Zn_Pt111_hcp1,1,/1,-,1,-3.59,,Mengyi's ZnPt trainings on Jan 26 2025
